time	V(n004)
7.553704005746530e-004	-1.122975e-002
7.694329005746530e-004	-1.008752e-002
7.834954005746529e-004	-8.998964e-003
7.975579005746529e-004	-7.973174e-003
8.116204005746529e-004	-7.018566e-003
8.256829005746528e-004	-6.142823e-003
8.397454005746528e-004	-5.352793e-003
8.538079005746528e-004	-4.654372e-003
8.678704005746527e-004	-4.052363e-003
8.819329005746527e-004	-3.550357e-003
8.959954005746527e-004	-3.150618e-003
9.100579005746526e-004	-2.854003e-003
9.241204005746526e-004	-2.659914e-003
9.381829005746526e-004	-2.566294e-003
9.522454005746526e-004	-2.569655e-003
9.663079005746525e-004	-2.665159e-003
9.803704005746526e-004	-2.846729e-003
9.944329005746526e-004	-3.107192e-003
1.008495400574653e-003	-3.438449e-003
1.022557900574653e-003	-3.831670e-003
1.036620400574653e-003	-4.277495e-003
1.050682900574652e-003	-4.766239e-003
1.064745400574652e-003	-5.288096e-003
1.078807900574652e-003	-5.833336e-003
1.092870400574652e-003	-6.392485e-003
1.106932900574652e-003	-6.956487e-003
1.120995400574652e-003	-7.516840e-003
1.135057900574652e-003	-8.065715e-003
1.149120400574652e-003	-8.596046e-003
1.177245400574652e-003	-9.576982e-003
1.205370400574652e-003	-1.042022e-002
1.233495400574652e-003	-1.110032e-002
1.261620400574652e-003	-1.160497e-002
1.289745400574652e-003	-1.193333e-002
1.317870400574652e-003	-1.209398e-002
1.360057900574652e-003	-1.205631e-002
1.388182900574652e-003	-1.187679e-002
1.430370400574652e-003	-1.143678e-002
1.472557900574652e-003	-1.086589e-002
1.514745400574651e-003	-1.024069e-002
1.556932900574651e-003	-9.624500e-003
1.599120400574651e-003	-9.063487e-003
1.621218614860366e-003	-8.804150e-003
1.643316829146080e-003	-8.568128e-003
1.665415043431794e-003	-8.355420e-003
1.687513257717508e-003	-8.166025e-003
1.709611472003223e-003	-7.999945e-003
1.731709686288937e-003	-7.857179e-003
1.753807900574651e-003	-7.737727e-003
1.783941829146080e-003	-7.613004e-003
1.814075757717508e-003	-7.481802e-003
1.844209686288937e-003	-7.344119e-003
1.874343614860365e-003	-7.199956e-003
1.904477543431794e-003	-7.049313e-003
1.934611472003222e-003	-6.892190e-003
1.964745400574651e-003	-6.728587e-003
1.992870400574651e-003	-6.529110e-003
2.020995400574651e-003	-6.305474e-003
2.049120400574652e-003	-6.057680e-003
2.077245400574652e-003	-5.785726e-003
2.105370400574653e-003	-5.489613e-003
2.133495400574653e-003	-5.169342e-003
2.161620400574653e-003	-4.824911e-003
2.189745400574654e-003	-4.462833e-003
2.217870400574654e-003	-4.096017e-003
2.245995400574654e-003	-3.724464e-003
2.274120400574655e-003	-3.348173e-003
2.302245400574655e-003	-2.967145e-003
2.330370400574656e-003	-2.581380e-003
2.358495400574656e-003	-2.190877e-003
2.368540043431799e-003	-2.054145e-003
2.378584686288942e-003	-1.917896e-003
2.388629329146085e-003	-1.782129e-003
2.398673972003228e-003	-1.646846e-003
2.408718614860371e-003	-1.512044e-003
2.418763257717514e-003	-1.377725e-003
2.428807900574657e-003	-1.243889e-003
2.448897186288943e-003	-9.783029e-004
2.468986472003229e-003	-7.147920e-004
2.489075757717515e-003	-4.533565e-004
2.509165043431801e-003	-1.939965e-004
2.529254329146087e-003	6.328800e-005
2.549343614860373e-003	3.184970e-004
2.569432900574659e-003	5.716306e-004
2.611620400574659e-003	1.099026e-003
2.653807900574660e-003	1.622049e-003
2.695995400574660e-003	2.140698e-003
2.738182900574661e-003	2.654974e-003
2.780370400574661e-003	3.164877e-003
2.822557900574662e-003	3.670407e-003
2.864745400574663e-003	4.171563e-003
2.912959686288949e-003	4.740236e-003
2.961173972003235e-003	5.285370e-003
3.009388257717522e-003	5.806967e-003
3.057602543431808e-003	6.305027e-003
3.105816829146094e-003	6.779548e-003
3.154031114860381e-003	7.230532e-003
3.202245400574667e-003	7.657978e-003
3.226352543431810e-003	7.856359e-003
3.250459686288953e-003	8.046252e-003
3.274566829146096e-003	8.227658e-003
3.298673972003240e-003	8.400576e-003
3.322781114860383e-003	8.565005e-003
3.346888257717526e-003	8.720948e-003
3.370995400574669e-003	8.868402e-003
3.401129329146098e-003	9.040364e-003
3.431263257717527e-003	9.198089e-003
3.461397186288956e-003	9.341578e-003
3.491531114860385e-003	9.470831e-003
3.521665043431814e-003	9.585847e-003
3.551798972003243e-003	9.686626e-003
3.581932900574672e-003	9.773169e-003
3.595995400574672e-003	9.808396e-003
3.610057900574672e-003	9.840372e-003
3.624120400574673e-003	9.869099e-003
3.638182900574673e-003	9.894575e-003
3.652245400574673e-003	9.916801e-003
3.666307900574673e-003	9.935777e-003
3.680370400574673e-003	9.951502e-003
3.700459686288959e-003	9.968251e-003
3.720548972003245e-003	9.978225e-003
3.740638257717532e-003	9.981425e-003
3.760727543431817e-003	9.977851e-003
3.780816829146103e-003	9.967503e-003
3.800906114860389e-003	9.950381e-003
3.820995400574675e-003	9.926484e-003
3.863182900574676e-003	9.853088e-003
3.905370400574676e-003	9.750936e-003
3.947557900574676e-003	9.620026e-003
3.989745400574677e-003	9.460359e-003
4.031932900574678e-003	9.271934e-003
4.074120400574678e-003	9.054753e-003
4.116307900574679e-003	8.808814e-003
4.174566829146108e-003	8.420395e-003
4.232825757717537e-003	7.990670e-003
4.291084686288967e-003	7.519640e-003
4.349343614860396e-003	7.007304e-003
4.407602543431826e-003	6.453663e-003
4.465861472003255e-003	5.858717e-003
4.524120400574684e-003	5.222466e-003
4.556263257717541e-003	4.860982e-003
4.588406114860400e-003	4.492659e-003
4.620548972003257e-003	4.117498e-003
4.652691829146114e-003	3.735499e-003
4.684834686288972e-003	3.346661e-003
4.716977543431830e-003	2.950985e-003
4.749120400574687e-003	2.548471e-003
4.763182900574687e-003	2.371516e-003
4.777245400574687e-003	2.193920e-003
4.791307900574688e-003	2.015681e-003
4.805370400574688e-003	1.836800e-003
4.819432900574688e-003	1.657277e-003
4.833495400574688e-003	1.477112e-003
4.847557900574688e-003	1.296305e-003
4.865638257717546e-003	1.063082e-003
4.883718614860404e-003	8.295995e-004
4.901798972003261e-003	5.958583e-004
4.919879329146118e-003	3.618580e-004
4.937959686288975e-003	1.275986e-004
4.956040043431833e-003	-1.069199e-004
4.974120400574690e-003	-3.416975e-004
5.014298972003262e-003	-8.652971e-004
5.054477543431834e-003	-1.383012e-003
5.094656114860406e-003	-1.894841e-003
5.134834686288978e-003	-2.400785e-003
5.175013257717550e-003	-2.900845e-003
5.215191829146122e-003	-3.395019e-003
5.255370400574694e-003	-3.883308e-003
5.307602543431838e-003	-4.503897e-003
5.359834686288981e-003	-5.097188e-003
5.412066829146124e-003	-5.663183e-003
5.464298972003268e-003	-6.201880e-003
5.516531114860412e-003	-6.713280e-003
5.568763257717555e-003	-7.197383e-003
5.620995400574699e-003	-7.654188e-003
5.645102543431842e-003	-7.850830e-003
5.669209686288985e-003	-8.039304e-003
5.693316829146128e-003	-8.219611e-003
5.717423972003271e-003	-8.391749e-003
5.741531114860415e-003	-8.555720e-003
5.765638257717557e-003	-8.711523e-003
5.789745400574701e-003	-8.859158e-003
5.819879329146130e-003	-9.031425e-003
5.850013257717559e-003	-9.189264e-003
5.880147186288987e-003	-9.332673e-003
5.910281114860417e-003	-9.461652e-003
5.940415043431846e-003	-9.576202e-003
5.970548972003275e-003	-9.676323e-003
6.000682900574704e-003	-9.762014e-003
6.014745400574704e-003	-9.796676e-003
6.028807900574704e-003	-9.828033e-003
6.042870400574704e-003	-9.856087e-003
6.056932900574704e-003	-9.880837e-003
6.070995400574705e-003	-9.902283e-003
6.085057900574705e-003	-9.920425e-003
6.099120400574705e-003	-9.935264e-003
6.119209686288991e-003	-9.950657e-003
6.139298972003277e-003	-9.959249e-003
6.159388257717563e-003	-9.961039e-003
6.179477543431849e-003	-9.956028e-003
6.199566829146135e-003	-9.944216e-003
6.219656114860421e-003	-9.925602e-003
6.239745400574707e-003	-9.900186e-003
6.281932900574707e-003	-9.823718e-003
6.324120400574708e-003	-9.718692e-003
6.366307900574708e-003	-9.585107e-003
6.408495400574709e-003	-9.422965e-003
6.450682900574710e-003	-9.232264e-003
6.492870400574710e-003	-9.013005e-003
6.535057900574711e-003	-8.765187e-003
6.593316829146140e-003	-8.374362e-003
6.651575757717569e-003	-7.942313e-003
6.709834686288999e-003	-7.469038e-003
6.768093614860428e-003	-6.954539e-003
6.826352543431858e-003	-6.398814e-003
6.884611472003287e-003	-5.801865e-003
6.942870400574716e-003	-5.163691e-003
6.975013257717573e-003	-4.801229e-003
7.007156114860432e-003	-4.432006e-003
7.039298972003289e-003	-4.056021e-003
7.071441829146146e-003	-3.673275e-003
7.103584686289004e-003	-3.283767e-003
7.135727543431862e-003	-2.887497e-003
7.167870400574719e-003	-2.484466e-003
7.183941829146148e-003	-2.281891e-003
7.200013257717576e-003	-2.078538e-003
7.216084686289005e-003	-1.874406e-003
7.232156114860435e-003	-1.669495e-003
7.248227543431863e-003	-1.463806e-003
7.264298972003292e-003	-1.257337e-003
7.280370400574721e-003	-1.050090e-003
7.322557900574721e-003	-5.046822e-004
7.344656114860436e-003	-2.176773e-004
7.366754329146150e-003	6.892590e-005
7.388852543431865e-003	3.551274e-004
7.410950757717579e-003	6.409271e-004
7.433048972003294e-003	9.263252e-004
7.455147186289008e-003	1.211321e-003
7.477245400574723e-003	1.495916e-003
7.527468614860438e-003	2.142959e-003
7.577691829146153e-003	2.774373e-003
7.627915043431868e-003	3.390160e-003
7.678138257717583e-003	3.990318e-003
7.728361472003298e-003	4.574849e-003
7.778584686289013e-003	5.143751e-003
7.828807900574728e-003	5.697025e-003
7.870995400574728e-003	6.140724e-003
7.913182900574729e-003	6.562988e-003
7.955370400574729e-003	6.963815e-003
7.997557900574730e-003	7.343207e-003
8.039745400574731e-003	7.701162e-003
8.081932900574731e-003	8.037682e-003
8.124120400574732e-003	8.352766e-003
8.150236472003303e-003	8.534011e-003
8.176352543431876e-003	8.704967e-003
8.202468614860447e-003	8.865632e-003
8.228584686289019e-003	9.016007e-003
8.254700757717590e-003	9.156092e-003
8.280816829146163e-003	9.285886e-003
8.306932900574734e-003	9.405390e-003
8.325013257717591e-003	9.481578e-003
8.343093614860448e-003	9.552441e-003
8.361173972003306e-003	9.617977e-003
8.379254329146164e-003	9.678187e-003
8.397334686289022e-003	9.733071e-003
8.415415043431879e-003	9.782630e-003
8.433495400574736e-003	9.826862e-003
8.453584686289022e-003	9.869597e-003
8.473673972003307e-003	9.905555e-003
8.493763257717594e-003	9.934735e-003
8.513852543431880e-003	9.957137e-003
8.533941829146166e-003	9.972762e-003
8.554031114860451e-003	9.981609e-003
8.574120400574738e-003	9.983679e-003
8.602245400574738e-003	9.974952e-003
8.630370400574738e-003	9.953019e-003
8.658495400574739e-003	9.917882e-003
8.686620400574739e-003	9.869539e-003
8.714745400574740e-003	9.807991e-003
8.742870400574740e-003	9.733238e-003
8.770995400574740e-003	9.645280e-003
8.825236472003312e-003	9.435716e-003
8.879477543431885e-003	9.183045e-003
8.933718614860456e-003	8.887265e-003
8.987959686289029e-003	8.548377e-003
9.042200757717601e-003	8.166382e-003
9.096441829146174e-003	7.741279e-003
9.150682900574745e-003	7.273068e-003
9.196888257717603e-003	6.845098e-003
9.243093614860460e-003	6.396721e-003
9.289298972003318e-003	5.927936e-003
9.335504329146177e-003	5.438743e-003
9.381709686289035e-003	4.929143e-003
9.427915043431892e-003	4.399135e-003
9.474120400574750e-003	3.848719e-003
9.494209686289036e-003	3.606511e-003
9.514298972003321e-003	3.362268e-003
9.534388257717607e-003	3.115993e-003
9.554477543431894e-003	2.867684e-003
9.574566829146180e-003	2.617342e-003
9.594656114860465e-003	2.364967e-003
9.614745400574751e-003	2.110558e-003
9.630816829146181e-003	1.906106e-003
9.646888257717609e-003	1.701051e-003
9.662959686289038e-003	1.495393e-003
9.679031114860466e-003	1.289132e-003
9.695102543431896e-003	1.082268e-003
9.711173972003323e-003	8.748002e-004
9.727245400574753e-003	6.667297e-004
9.739298972003324e-003	5.105572e-004
9.751352543431896e-003	3.543580e-004
9.763406114860467e-003	1.981320e-004
9.775459686289040e-003	4.187939e-005
9.787513257717611e-003	-1.144000e-004
9.799566829146183e-003	-2.707061e-004
9.811620400574754e-003	-4.270389e-004
9.851798972003325e-003	-9.503111e-004
9.891977543431898e-003	-1.467478e-003
9.932156114860469e-003	-1.978538e-003
9.972334686289042e-003	-2.483493e-003
1.001251325771761e-002	-2.982341e-003
1.005269182914619e-002	-3.475084e-003
1.009287040057476e-002	-3.961721e-003
1.014309361486047e-002	-4.555993e-003
1.019331682914619e-002	-5.125033e-003
1.024354004343190e-002	-5.668843e-003
1.029376325771762e-002	-6.187423e-003
1.034398647200333e-002	-6.680772e-003
1.039420968628905e-002	-7.148890e-003
1.044443290057476e-002	-7.591778e-003
1.046854004343191e-002	-7.790784e-003
1.049264718628905e-002	-7.981674e-003
1.051675432914619e-002	-8.164450e-003
1.054086147200333e-002	-8.339111e-003
1.056496861486048e-002	-8.505657e-003
1.058907575771762e-002	-8.664088e-003
1.061318290057477e-002	-8.814404e-003
1.064130790057477e-002	-8.978750e-003
1.066943290057477e-002	-9.130609e-003
1.069755790057477e-002	-9.269982e-003
1.072568290057477e-002	-9.396868e-003
1.075380790057477e-002	-9.511268e-003
1.078193290057477e-002	-9.613181e-003
1.081005790057477e-002	-9.702608e-003
1.082612932914620e-002	-9.747685e-003
1.084220075771763e-002	-9.788460e-003
1.085827218628905e-002	-9.824931e-003
1.087434361486048e-002	-9.857101e-003
1.089041504343191e-002	-9.884967e-003
1.090648647200334e-002	-9.908531e-003
1.092255790057477e-002	-9.927792e-003
1.094465611486048e-002	-9.947135e-003
1.096675432914620e-002	-9.958249e-003
1.098885254343191e-002	-9.961135e-003
1.101095075771763e-002	-9.955792e-003
1.103304897200334e-002	-9.942221e-003
1.105514718628906e-002	-9.920421e-003
1.107724540057477e-002	-9.890392e-003
1.112144182914620e-002	-9.804496e-003
1.116563825771763e-002	-9.687446e-003
1.120983468628906e-002	-9.539242e-003
1.125403111486049e-002	-9.359885e-003
1.129822754343192e-002	-9.149373e-003
1.134242397200335e-002	-8.907707e-003
1.138662040057478e-002	-8.634888e-003
1.144287040057478e-002	-8.241936e-003
1.149912040057478e-002	-7.811188e-003
1.155537040057478e-002	-7.342646e-003
1.161162040057478e-002	-6.836308e-003
1.166787040057478e-002	-6.292175e-003
1.172412040057478e-002	-5.710247e-003
1.178037040057478e-002	-5.090524e-003
1.181251325771764e-002	-4.726281e-003
1.184465611486050e-002	-4.355415e-003
1.187679897200335e-002	-3.977924e-003
1.190894182914621e-002	-3.593809e-003
1.194108468628907e-002	-3.203070e-003
1.197322754343193e-002	-2.805707e-003
1.200537040057478e-002	-2.401719e-003
1.201541504343193e-002	-2.275050e-003
1.202545968628907e-002	-2.148045e-003
1.203550432914621e-002	-2.020705e-003
1.204554897200335e-002	-1.893028e-003
1.205559361486050e-002	-1.765016e-003
1.206563825771764e-002	-1.636667e-003
1.207568290057478e-002	-1.507983e-003
1.208974540057478e-002	-1.327319e-003
1.210380790057478e-002	-1.146359e-003
1.211787040057478e-002	-9.651030e-004
1.213193290057479e-002	-7.835507e-004
1.214599540057479e-002	-6.017022e-004
1.216005790057479e-002	-4.195576e-004
1.217412040057479e-002	-2.371168e-004
1.220425432914622e-002	1.551960e-004
1.223438825771764e-002	5.457957e-004
1.226452218628907e-002	9.346825e-004
1.229465611486050e-002	1.321856e-003
1.232479004343193e-002	1.707317e-003
1.235492397200336e-002	2.091065e-003
1.238505790057479e-002	2.473099e-003
1.244130790057479e-002	3.181547e-003
1.249755790057479e-002	3.864308e-003
1.255380790057479e-002	4.521383e-003
1.261005790057479e-002	5.152771e-003
1.266630790057479e-002	5.758474e-003
1.272255790057479e-002	6.338491e-003
1.277880790057479e-002	6.892821e-003
1.281095075771765e-002	7.189609e-003
1.284309361486051e-002	7.472687e-003
1.287523647200337e-002	7.742056e-003
1.290737932914622e-002	7.997715e-003
1.293952218628908e-002	8.239665e-003
1.297166504343194e-002	8.467905e-003
1.300380790057480e-002	8.682435e-003
1.302389718628908e-002	8.808350e-003
1.304398647200337e-002	8.928068e-003
1.306407575771765e-002	9.041588e-003
1.308416504343194e-002	9.148912e-003
1.310425432914623e-002	9.250038e-003
1.312434361486051e-002	9.344966e-003
1.314443290057480e-002	9.433698e-003
1.316050432914623e-002	9.499973e-003
1.317657575771766e-002	9.562040e-003
1.319264718628909e-002	9.619899e-003
1.320871861486051e-002	9.673549e-003
1.322479004343194e-002	9.722992e-003
1.324086147200337e-002	9.768226e-003
1.325693290057480e-002	9.809252e-003
1.327702218628909e-002	9.854490e-003
1.329711147200337e-002	9.892956e-003
1.331720075771766e-002	9.924652e-003
1.333729004343194e-002	9.949575e-003
1.335737932914623e-002	9.967727e-003
1.337746861486052e-002	9.979108e-003
1.339755790057480e-002	9.983717e-003
1.342166504343195e-002	9.980146e-003
1.344577218628909e-002	9.966837e-003
1.346987932914623e-002	9.943789e-003
1.349398647200337e-002	9.911004e-003
1.351809361486052e-002	9.868480e-003
1.354220075771766e-002	9.816218e-003
1.356630790057480e-002	9.754217e-003
1.361854004343195e-002	9.584128e-003
1.367077218628909e-002	9.372875e-003
1.372300432914624e-002	9.120458e-003
1.377523647200338e-002	8.826877e-003
1.382746861486052e-002	8.492132e-003
1.387970075771767e-002	8.116224e-003
1.393193290057481e-002	7.699151e-003
1.403037040057481e-002	6.825203e-003
1.407456682914624e-002	6.391654e-003
1.411876325771767e-002	5.940918e-003
1.416295968628910e-002	5.472996e-003
1.420715611486053e-002	4.987888e-003
1.425135254343196e-002	4.485594e-003
1.429554897200338e-002	3.966114e-003
1.433974540057481e-002	3.429447e-003
1.439599540057482e-002	2.735683e-003
1.440000000000000e-002	2.685741e-003
