Freq.	V(n004)
9.97906811394358e+001	(-5.28457576672390e+001dB,1.75879603466691e+002°)
1.00251293995314e+002	(-5.27653470811205e+001dB,1.75860456573663e+002°)
1.00714032943534e+002	(-5.26849326907351e+001dB,1.75841219513547e+002°)
1.01178907797692e+002	(-5.26045144607873e+001dB,1.75821891845068e+002°)
1.01645928416684e+002	(-5.25240923556534e+001dB,1.75802473124564e+002°)
1.02115104704908e+002	(-5.24436663393781e+001dB,1.75782962905962e+002°)
1.02586446612482e+002	(-5.23632363756717e+001dB,1.75763360740769e+002°)
1.03059964135451e+002	(-5.22828024279069e+001dB,1.75743666178052e+002°)
1.03535667315999e+002	(-5.22023644591154e+001dB,1.75723878764425e+002°)
1.04013566242664e+002	(-5.21219224319853e+001dB,1.75703998044027e+002°)
1.04493671050548e+002	(-5.20414763088573e+001dB,1.75684023558509e+002°)
1.04975991921537e+002	(-5.19610260517216e+001dB,1.75663954847017e+002°)
1.05460539084513e+002	(-5.18805716222149e+001dB,1.75643791446174e+002°)
1.05947322815574e+002	(-5.18001129816166e+001dB,1.75623532890062e+002°)
1.06436353438248e+002	(-5.17196500908461e+001dB,1.75603178710205e+002°)
1.06927641323716e+002	(-5.16391829104587e+001dB,1.75582728435553e+002°)
1.07421196891030e+002	(-5.15587114006428e+001dB,1.75562181592462e+002°)
1.07917030607333e+002	(-5.14782355212162e+001dB,1.75541537704678e+002°)
1.08415152988083e+002	(-5.13977552316226e+001dB,1.75520796293317e+002°)
1.08915574597276e+002	(-5.13172704909281e+001dB,1.75499956876847e+002°)
1.09418306047668e+002	(-5.12367812578178e+001dB,1.75479018971074e+002°)
1.09923358001002e+002	(-5.11562874905921e+001dB,1.75457982089114e+002°)
1.10430741168231e+002	(-5.10757891471634e+001dB,1.75436845741383e+002°)
1.10940466309752e+002	(-5.09952861850518e+001dB,1.75415609435576e+002°)
1.11452544235625e+002	(-5.09147785613821e+001dB,1.75394272676643e+002°)
1.11966985805810e+002	(-5.08342662328798e+001dB,1.75372834966777e+002°)
1.12483801930394e+002	(-5.07537491558674e+001dB,1.75351295805388e+002°)
1.13003003569821e+002	(-5.06732272862607e+001dB,1.75329654689087e+002°)
1.13524601735128e+002	(-5.05927005795647e+001dB,1.75307911111666e+002°)
1.14048607488176e+002	(-5.05121689908702e+001dB,1.75286064564075e+002°)
1.14575031941884e+002	(-5.04316324748494e+001dB,1.75264114534406e+002°)
1.15103886260468e+002	(-5.03510909857527e+001dB,1.75242060507869e+002°)
1.15635181659675e+002	(-5.02705444774037e+001dB,1.75219901966772e+002°)
1.16168929407020e+002	(-5.01899929031965e+001dB,1.75197638390501e+002°)
1.16705140822028e+002	(-5.01094362160903e+001dB,1.75175269255500e+002°)
1.17243827276474e+002	(-5.00288743686065e+001dB,1.75152794035247e+002°)
